,^N225,^GSPC/JPY,BTC/JPY
2021-11-02,29520.900390625,528329.3781543486,7213753.26091978
2021-11-04,29794.369140625,533854.4494555481,7009855.91081658
2021-11-05,29611.5703125,534752.6886912547,6958363.430793256
2021-11-08,29507.05078125,533525.4224888608,7667145.718385577
2021-11-09,29285.4609375,530623.2932052612,7584827.275313854
2021-11-10,29106.779296875,524669.3270211071,7338741.62930125
2021-11-11,29277.859375,529575.0958993286,7398125.221301317
2021-11-12,29609.970703125,534046.2702571899,7316535.978803754
2021-11-15,29776.80078125,533750.2176855952,7244389.88358289
2021-11-16,29808.119140625,536523.1254433468,6866323.56683284
2021-11-17,29688.330078125,538746.9255552143,6936525.978000969
2021-11-18,29598.66015625,537211.4385462403,6502222.730932951
2021-11-19,29745.869140625,536892.249359712,6642021.492482424
2021-11-22,29774.109375,534501.4013188183,6424746.902500629
2021-11-24,29302.66015625,541330.7959101722,6480184.439612299
2021-11-25,29499.279296875,542586.0776850209,6609956.069073856
2021-11-26,28751.619140625,528698.3433863819,6164219.373781681
2021-11-29,28283.919921875,529392.6595909931,6573705.027471095
2021-11-30,27821.759765625,519742.8719024658,6487445.524320066
2021-12-01,27935.619140625,511322.9396375343,6484082.502823234
2021-12-02,27753.369140625,516672.23054420203,6375329.085292518
2021-12-03,28029.5703125,512942.4697313458,6057781.140119433
2021-12-06,27927.369140625,519051.5504678339,5717961.085988045
2021-12-07,28455.599609375,531749.2823581696,5752330.359580338
2021-12-08,28860.619140625,533704.8679889068,5733557.142298579
2021-12-09,28725.470703125,530614.3991726711,5419557.324221939
2021-12-10,28437.76953125,534569.2379726171,5359658.3379154205
2021-12-13,28640.490234375,529932.7857902385,5304750.745009929
2021-12-14,28432.640625,526326.0383056104,5294123.159110844
2021-12-15,28459.720703125,535712.4618347958,5561659.740055859
2021-12-16,29066.3203125,532863.317611903,5440341.1126096845
2021-12-17,28545.6796875,525195.8291665725,5251474.446913987
2021-12-20,27937.810546875,518552.48626118526,5321755.217638046
